Wall time,Step,Value
1588431621.6243033,10001,-235.34886169433594
1588431654.57058,20001,-182.88429260253906
1588431690.884757,30001,-168.21023559570312
1588431761.5485983,40001,-147.7530059814453
1588431800.9112086,50001,-130.5360107421875
1588431839.5094225,60001,-103.6400375366211
1588431879.558868,70001,-92.56697082519531
1588431921.403211,80001,-88.49568939208984
1588431976.0638719,90001,-82.39107513427734
1588432017.169833,100001,-77.01982116699219
1588432056.9963155,110001,-40.83320617675781
1588432096.0045142,120001,-14.387335777282715
1588432135.7216017,130001,1.9923896789550781
1588432177.1852121,140001,25.813953399658203
1588432217.899148,150001,50.29413604736328
1588432257.550723,160001,63.06842041015625
1588432304.7910178,170001,58.95384979248047
1588432343.3308992,180001,78.6896743774414
1588432383.0523272,190001,88.46427154541016
1588432420.506052,200001,87.82740783691406
1588432462.4711294,210001,76.63565826416016
1588432499.5860417,220001,51.89725875854492
1588432541.6847146,230001,27.101116180419922
1588432581.087541,240001,11.183947563171387
1588432619.7138648,250001,40.62617111206055
1588432660.6875052,260001,37.12858963012695
1588432702.4542034,270001,13.87961196899414
1588432745.2934272,280001,15.008926391601562
1588432782.3852684,290001,55.48360824584961
1588432821.1810617,300001,90.37223815917969
1588432858.6441774,310001,102.8974838256836
1588432896.5182142,320001,104.1145248413086
1588432946.1836393,330001,117.01893615722656
1588432984.7256973,340001,133.05857849121094
1588433023.4046493,350001,143.0463104248047
1588433061.3927386,360001,129.66122436523438
1588433099.4037387,370001,137.55604553222656
1588433137.691611,380001,155.2760467529297
1588433171.648922,390001,166.19029235839844
1588433203.03241,400001,145.9761962890625
1588433234.2837806,410001,109.61830139160156
1588433265.9356773,420001,90.67170715332031
1588433297.1814377,430001,81.30270385742188
1588433328.9572852,440001,111.40777587890625
1588433359.8659933,450001,104.08422088623047
1588433380.1669083,460001,85.89806365966797
1588433399.6034853,470001,74.37603759765625
1588433418.2596755,480001,97.04672241210938
1588433444.0142813,490001,96.3533706665039
