Wall time,Step,Value
1588426986.1499915,10001,-242.64527893066406
1588426998.6552482,20001,-196.06182861328125
1588427017.0110493,30001,-181.33596801757812
1588427070.831006,40001,-168.0959014892578
1588427103.8119109,50001,-148.37474060058594
1588427137.8144329,60001,-131.25975036621094
1588427172.8249083,70001,-112.00813293457031
1588427206.1315722,80001,-77.09013366699219
1588427239.6050797,90001,-76.86558532714844
1588427275.3824592,100001,-54.8796272277832
1588427311.6855237,110001,-33.74356460571289
1588427344.712657,120001,-18.628206253051758
1588427377.2590797,130001,5.989847183227539
1588427409.1207423,140001,7.466823101043701
1588427441.2486377,150001,0.5864892601966858
1588427475.49367,160001,11.932707786560059
1588427508.3112564,170001,12.244707107543945
1588427543.8016047,180001,17.621967315673828
1588427577.5468621,190001,19.716014862060547
1588427641.2338712,200001,19.378406524658203
1588427674.2687366,210001,29.636707305908203
1588427706.5516489,220001,43.92494201660156
1588427740.989966,230001,48.008060455322266
1588427774.3775966,240001,46.07124710083008
1588427807.2790124,250001,72.01065063476562
1588427840.2924066,260001,76.2979736328125
1588427877.1010485,270001,72.92390441894531
1588427912.9333062,280001,51.264286041259766
1588427948.9141147,290001,67.29024505615234
1588427980.5367832,300001,89.7867660522461
1588428015.6953146,310001,95.84278106689453
1588428048.6478355,320001,88.28660583496094
1588428086.8545976,330001,78.8508529663086
1588428121.456399,340001,103.6046142578125
1588428157.3518205,350001,121.67315673828125
1588428191.8584805,360001,90.7451171875
1588428227.1906214,370001,80.69355010986328
1588428262.1444037,380001,79.38323211669922
1588428298.4601452,390001,79.3174819946289
1588428332.104528,400001,77.21935272216797
1588428366.524269,410001,90.13639068603516
1588428401.911689,420001,94.43241882324219
1588428434.6624367,430001,82.09506225585938
1588428467.6653583,440001,69.21668243408203
1588428502.9627805,450001,63.05405044555664
1588428536.6204946,460001,65.1359634399414
1588428569.3369403,470001,65.44469451904297
1588428602.059754,480001,47.20498275756836
1588428634.7396119,490001,43.52315902709961
