Wall time,Step,Value
1588431400.9770324,10001,-252.42115783691406
1588431426.9866295,20001,-218.45211791992188
1588431461.2645857,30001,-183.9530487060547
1588431498.5182717,40001,-172.112060546875
1588431563.1422794,50001,-159.6602020263672
1588431600.4153757,60001,-126.39437103271484
1588431640.3689733,70001,-105.27890014648438
1588431678.4613817,80001,-82.99552154541016
1588431716.480074,90001,-65.05233764648438
1588431764.4222088,100001,-41.48185348510742
1588431806.1508014,110001,-32.41456604003906
1588431845.7277071,120001,-8.090892791748047
1588431888.9377675,130001,8.958868026733398
1588431928.7417734,140001,24.193235397338867
1588431967.4929452,150001,45.05327606201172
1588432007.2669528,160001,51.299015045166016
1588432070.8898091,170001,68.8454818725586
1588432110.7290316,180001,70.60380554199219
1588432151.7598407,190001,69.42015075683594
1588432193.2924547,200001,68.68614959716797
1588432233.9754295,210001,60.11339569091797
1588432274.957387,220001,55.108097076416016
1588432316.1597664,230001,54.79677963256836
1588432358.6779568,240001,56.420013427734375
1588432399.3883736,250001,61.65230178833008
1588432453.0006013,260001,77.69197082519531
1588432497.0292149,270001,77.51314544677734
1588432538.3252006,280001,101.57213592529297
1588432580.7821393,290001,121.1845474243164
1588432623.0652902,300001,126.85784149169922
1588432662.2058642,310001,133.47491455078125
1588432703.9220572,320001,138.362548828125
1588432744.5639799,330001,149.135498046875
1588432792.0989792,340001,164.75062561035156
1588432832.8987653,350001,167.0179443359375
1588432873.8114166,360001,159.99851989746094
1588432915.0697064,370001,147.93508911132812
1588432952.9439826,380001,142.59718322753906
1588432991.475964,390001,160.3333282470703
1588433029.9392223,400001,171.85292053222656
1588433075.0144994,410001,169.2659149169922
1588433113.3189757,420001,179.8129119873047
1588433151.5082593,430001,187.7218780517578
1588433182.8997602,440001,174.40284729003906
1588433214.0376909,450001,139.83905029296875
1588433244.8818917,460001,82.14190673828125
1588433275.626923,470001,-14.635770797729492
1588433305.7612658,480001,-1.4439688920974731
1588433336.661651,490001,-63.117767333984375
