Wall time,Step,Value
1588431428.0516722,10001,-207.09744262695312
1588431453.8203657,20001,-162.723876953125
1588431486.3896215,30001,-151.5652618408203
1588431550.6995127,40001,-148.85987854003906
1588431590.2293603,50001,-140.63526916503906
1588431632.9276164,60001,-137.8304443359375
1588431675.7133381,70001,-130.30206298828125
1588431716.4043875,80001,-128.79434204101562
1588431754.74663,90001,-114.92613983154297
1588431794.8839722,100001,-105.43500518798828
1588431864.4449854,110001,-78.30684661865234
1588431903.8467808,120001,-40.0042839050293
1588431945.1538675,130001,-7.081317901611328
1588431982.4911454,140001,13.374526023864746
1588432021.509616,150001,25.678064346313477
1588432058.2087715,160001,43.413875579833984
1588432098.350135,170001,45.56068801879883
1588432147.3869941,180001,51.54238510131836
1588432189.1016266,190001,54.6168327331543
1588432231.6450107,200001,57.01886749267578
1588432269.2472272,210001,52.167686462402344
1588432307.2049866,220001,57.03936004638672
1588432349.3473713,230001,46.838783264160156
1588432389.795685,240001,47.17083740234375
1588432433.6453037,250001,59.62129211425781
1588432472.214444,260001,98.1018295288086
1588432512.0212748,270001,88.61505126953125
1588432552.4660792,280001,78.54414367675781
1588432590.0542505,290001,76.89120483398438
1588432631.230577,300001,89.16421508789062
1588432668.007303,310001,81.55084991455078
1588432705.2486796,320001,96.86054229736328
1588432742.5136044,330001,99.82416534423828
1588432784.2259922,340001,98.93547058105469
1588432822.4927735,350001,117.87667846679688
1588432859.9115977,360001,125.05279541015625
1588432898.4560974,370001,105.61339569091797
1588432935.9016926,380001,97.07543182373047
1588432975.202,390001,124.73827362060547
1588433013.3606224,400001,122.36414337158203
1588433050.2667508,410001,74.6124038696289
1588433087.943447,420001,67.24491882324219
1588433125.4710279,430001,51.721012115478516
1588433161.5577312,440001,70.19020080566406
1588433192.568467,450001,55.310482025146484
1588433223.6476865,460001,44.928749084472656
1588433254.4517512,470001,29.670093536376953
1588433285.464919,480001,25.33538246154785
1588433319.701279,490001,33.221405029296875
